bodyId,type,type_lab,cluster,function,reference
10001,DNp01,DNp01,11,"escape takeoff, electrical","Lima 2005, Kennedy and Broadie 2018"
10010,DNp01,DNp01,11,"escape takeoff, electrical","Lima 2005, Kennedy and Broadie 2018"
10026,DNp18,DNp18,0,,
10030,pIP1,pIP1,0,,
10033,DNg56,DNg56,12,,
10038,pIP1,pIP1,0,,
10045,DNg100,DNg100,0,walking,Sapkal 2024
10048,DNp18,DNp18,0,,
10054,DNpe013,DNpe013,11,,
10056,DNg100,DNg100,0,walking,Sapkal 2024
10059,DNp20,DNp20,10,"flight (tuned to rotational flow fields), electrical","Suver , 2016"
10063,DNp27,DNp27,0,neuromodulatory,"Meiselman 2022 (im),Chen 2015 (im)"
10065,DNb05,DNb05,0,"fast locomotion (+ wing MNs), ipsiversive steering","Cande, J. 2018 & Yang 2023"
10068,DNp30,DNp30,11,feeding/hunger,Soderberg 2012
10069,AN07B004,AN07B004,10,,
10071,AN12B011,AN12B011,17,,
10087,ANXXX033,ANXXX033,3,,
10090,aSP22,aSP22,0,"courtship: proboscis extension, front leg reaching, abdomen bending",McKellar 2019
10091,DNpe042,DNpe042,12,,
10104,aSP22,aSP22,0,"courtship: proboscis extension, front leg reaching, abdomen bending",McKellar 2019
10106,DNp11,DNp11,0,escape_takeoff,Dombrovski 2023
10117,DNp02,DNp02,11,escape_takeoff,Dombrovski 2023
10118,DNb05,DNb05,0,"fast locomotion (+ wing MNs), ipsiversive steering","Cande, J. 2018 & Yang 2023"
10123,DNg30,DNg30,0,neuromodulatory,"ICLI, Jiang 2013 (im)"
10124,DNg105,DNg105,0,,
10131,DNg74_a,DNg74_a,0,,
10135,DNge031,DNge031,17,,
10141,DNg15,DNg15,5,,
10143,DNp30,DNp30,11,feeding/hunger,Soderberg 2012
10150,AN27X013,AN27X013,1,,
10151,DNge103,DNge103,0,,
10160,DNg90,DNg90,11,,
10162,DNp20,DNp20,10,"flight (tuned to rotational flow fields), electrical","Suver , 2016"
10163,DNge036,DNge036,17,,
10165,AN05B101,AN05B101,15,,
10177,DNg16,DNg16,0,,
10180,AN02A002,AN02A002,10,,
10192,DNg75,DNg75,0,walking,Sapkal 2024
10195,DNp29,DNp29,0,feeding/hunger,Krashes 2009
10197,DNp02,DNp02,11,escape_takeoff,Dombrovski 2023
10199,AN10B022,AN10B022,7,,
10213,DNge083,DNge083,0,,
10216,DNge037,DNge037,0,,
10218,DNg35,DNg35,3,,
10221,DNge037,DNge037,0,,
10223,DNpe056,DNpe056,0,,
10228,DNp06,DNp06,0,escape takeoff,Kim 2023
10234,DNp35,DNp35,0,escape takeoff,"Cheong, Eichler, Stürner 2024"
10236,DNg99,DNg99,5,,
10237,DNg30,DNg30,0,neuromodulatory,"ICLI, Jiang 2013 (im)"
10244,DNp55,DNp55,12,,
10245,DNp36,DNp36,0,song,"Yu 2010, Lillvis 2024"
10247,DNg74_a,DNg74_a,0,,
10249,DNp31,DNp31,11,,
10253,AN07B004,AN07B004,10,,
10259,DNp11,DNp11,0,escape_takeoff,Dombrovski 2023
10264,DNp31,DNp31,11,,
10274,DNg108,DNg108,0,,
10280,DNp47,DNp47,0,,
10281,DNg108,DNg108,0,,
10283,DNp103,DNp103,0,,
10286,DNpe053,DNpe053,16,,
10291,AN06B007,AN06B007,1,,
10295,DNg34,DNg34,16,octopamine,"Certel et al., 2010, Babski et al., 2024"
10296,DNge054,DNge054,12,,
10301,DNge050,DNge050,0,walking,Sapkal 2024
10304,DNge041,DNge041,11,,
10313,DNge031,DNge031,17,,
10336,DNg22,DNg22,16,"neuromodulatory, reproduction?",Song 2023 (im)
10341,DNp19,DNp19,10,,
10342,DNc02,DNc02,0,neuromodulatory,Martelli et al. 2017 (im)
10354,DNp73,DNp73,5,,
10360,DNa02,DNa02,0,turning during forwards walking,"Yang 2024, Rayshubskiy 2025"
10361,DNg40,DNg40,11,,
10366,DNp59,DNp59,0,,
10377,DNge054,DNge054,12,,
10379,DNa10,DNa10,11,,
10384,DNp63,DNp63,11,,
10388,DNp13,DNp13,16,song,"Wang 2020, Lillvis 2024"
10394,DNg98,DNg98,16,,
10411,DNb09,DNb09,11,,
10416,DNde002,DNde002,0,,
10417,DNp103,DNp103,0,,
10425,DNp10,DNp10,0,landing,Ache 2019
10433,DNp10,DNp10,0,landing,Ache 2019
10434,AN19B019,AN19B019,15,,
10440,DNg16,DNg16,0,,
10442,DNa01,DNa01,0,turning during forwards walking,Rayshubskiy 2025
10444,DNge035,DNge035,0,,
10446,DNp73,DNp73,5,,
10447,DNge138,DNge138,12,octopamine,Babski 2024
10449,DNpe025,DNpe025,0,,
10458,DNp13,DNp13,16,song,"Wang 2020, Lillvis 2024"
