bodyId,type,type_lab,cluster,function,reference
10674,DNp59,DNp59,10,,
10676,DNg49,DNg49,0,,
10680,DNp48,DNp48,8,,
10686,DNge132,DNge132,4,,
10689,AN12B001,AN12B001,11,,
10692,AN05B101,AN05B101,7,,
10700,DNpe001,DNpe001,10,,
10703,DNge036,DNge036,9,,
10705,DNc02,DNc02,10,neuromodulatory,Martelli et al. 2017 (im)
10710,DNg102,DNg102,8,,
10711,DNb07,DNb07,10,,
10712,DNp36,DNp36,10,song,"Yu 2010, Lillvis 2024"
10713,DNp42,DNp42,10,walking?,Braun 2024?
10717,DNg93,DNg93,10,,
10724,DNp62,DNp62,10,feeding/hunger,Soderberg 2012
10727,DNpe002,DNpe002,10,,
10732,DNpe056,DNpe056,10,,
10734,DNg93,DNg93,10,,
10739,DNg24,DNg24,4,,
10740,DNge143,DNge143,0,,
10752,DNp03,DNp03,10,flight,Buchsbaum 2024
10759,DNb01,DNb01,10,flight,Ros 2024
10760,DNa01,DNa01,10,turning during forwards walking,Rayshubskiy 2025
10763,MDN,MDN,10,backwards walking,Bidaye 2014
10765,pMP2,pMP2,10,song,Lillvis 2024
10770,DNp23,DNp23,10,,
10775,AN01A089,AN01A089,3,,
10783,DNp09,DNp09,10,"defensive responses, forwards turning, halting ","Zacarias 2018, Bidaye 2020, Braun 2024?"
10797,AN12B001,AN12B001,11,,
10800,DNbe007,DNbe007,10,,
10805,DNb02,DNb02,1,steering,Braun 2024?
10810,DNp66,DNp66,10,,
10813,DNp43,DNp43,10,,
10822,DNge047,DNge047,11,,
10823,DNp48,DNp48,8,,
10833,DNge062,DNge062,9,,
10834,DNpe013,DNpe013,10,,
10837,DNa15,DNa15,1,flight,Ros 2024
10838,DNde005,DNde005,8,,
10840,AN19B017,AN19B017,1,,
10841,AN09B004,AN09B004,12,,
10842,CB0429,CB0429,10,,
10844,DNge053,DNge053,10,walking,Sapkal 2024
10846,DNge107,DNge107,3,,
10853,DNge049,DNge049,10,,
10856,DNge129,DNge129,7,,
10873,DNg39,DNg39,7,,
10884,DNa15,DNa15,1,flight,Ros 2024
10885,DNg88,DNg88,7,,
10888,DNb06,DNb06,10,steering,Yang 2024
10895,DNg90,DNg90,10,,
10922,AN08B010,AN08B010,11,,
10923,DNg40,DNg40,10,,
10924,DNa04,DNa04,1,,
10930,pMP2,pMP2,10,song,Lillvis 2024
10931,DNpe045,DNpe045,10,,
10952,DNge107,DNge107,3,,
10957,DNp69,DNp69,8,,
10959,DNg98,DNg98,8,,
10967,DNg70,DNg70,8,,
10968,DNp34,DNp34,10,,
10971,DNa11,DNa11,10,steering,Feng 2024
10975,DNa03,DNa03,1,steering,Feng 2024
10976,DNge146,DNge146,9,,
10979,DNge103,DNge103,10,,
10985,DNbe004,DNbe004,10,,
10989,DNp03,DNp03,10,flight,Buchsbaum 2024
10997,AN06B009,AN06B009,1,,
11002,DNae002,DNae002,1,,
11006,DNge129,DNge129,7,,
11011,AN07B018,AN07B018,11,,
11014,AN01A089,AN01A089,3,,
11020,DNp05,DNp05,10,escape takeoff,"Cheong, Eichler, Stürner 2024"
11028,DNb09,DNb09,10,,
11036,DNg80,DNg80,8,,
11048,DNge068,DNge068,9,,
11057,DNbe004,DNbe004,10,,
11063,DNge032,DNge032,10,,
11064,AN19B017,AN19B017,1,,
11065,DNp14,DNp14,10,reproduction?,Tomke
11066,DNa13,DNa13,10,,
11067,DNb06,DNb06,10,steering,Yang 2024
11072,DNp12,DNp12,8,,
11074,DNg13,DNg13,10,turning during forwards walking,Yang 2024
11075,DNg99,DNg99,4,,
11078,DNg96,DNg96,7,,
11088,DNp55,DNp55,10,,
11097,DNge067,DNge067,4,,
11098,DNg78,DNg78,0,,
11103,DNge141,DNge141,10,,
11111,DNbe003,DNbe003,10,,
11116,pIP10,pIP10,10,song,Lillvis 2024
11121,DNp52,DNp52,11,,
11127,DNge059,DNge059,9,,
11131,DNg70,DNg70,8,,
11133,DNp70,DNp70,10,,
11137,DNp04,DNp04,10,escape takeoff,Dombrovski 2023
11158,DNge026,DNge026,0,,
11159,DNp71,DNp71,10,,
11160,DNd02,DNd02,10,"walking related, slow locomotion, octopamine","Babski 2024, Cande, J. 2018"
11172,DNg32,DNg32,10,,
11173,DNg103,DNg103,5,,
11177,DNp09,DNp09,10,"defensive responses, forwards turning, halting ","Zacarias 2018, Bidaye 2020, Braun 2024?"
11179,DNge051,DNge051,9,,
11182,DNp101,DNp101,10,,
11198,DNg19,DNg19,11,,
11201,DNpe007,DNpe007,7,,
11204,DNp49,DNp49,10,,
11215,DNp15,DNp15,1,steering/walking,Erginkaya 2023 
11222,DNg111,DNg111,10,,
11223,DNg79,DNg79,10,,
11232,DNde003,DNde003,11,,
11233,DNa11,DNa11,10,steering,Feng 2024
11241,DNge143,DNge143,0,,
11246,DNbe006,DNbe006,10,,
11251,DNpe043,DNpe043,10,,
11256,DNge040,DNge040,7,,
11257,DNp45,DNp45,10,,
11258,DNd05,DNd05,10,,
11259,DNp68,DNp68,10,,
11261,DNp54,DNp54,10,,
11288,MDN,MDN,10,backwards walking,Bidaye 2014
11290,DNp66,DNp66,10,,
11297,DNbe003,DNbe003,10,,
11298,DNp49,DNp49,10,,
11302,DNg104,DNg104,10,octopamine,Babski 2024
11304,DNge042,DNge042,9,,
11310,DNge048,DNge048,10,,
11314,DNae003,DNae003,1,steering,Feng 2024
11332,MDN,MDN,10,backwards walking,Bidaye 2014
11334,DNpe045,DNpe045,10,,
11352,DNge027,DNge027,9,,
11365,DNbe007,DNbe007,10,,
11369,DNc01,DNc01,10,neuromodulatory,Martelli et al. 2017 (im)
11373,DNp102,DNp102,10,,
11374,DNg60,DNg60,9,halting,Sapkal 2024
11380,DNp14,DNp14,10,reproduction?,Tomke
11392,DNa08,DNa08,10,,
11410,DNpe023,DNpe023,11,,
11411,DNg31,DNg31,7,,
11420,DNge141,DNge141,10,,
11421,DNge048,DNge048,10,,
11422,ANXXX127,ANXXX127,11,,
11424,DNge026,DNge026,0,,
11425,CB0429,CB0429,10,,
11427,DNge101,DNge101,9,,
11431,AN05B102a,AN05B102a,5,pheromone,Kallman 2015
11438,DNp33,DNp33,4,,
11443,AN04B003,AN04B003,11,,
11458,DNge043,DNge043,10,,
11459,DNpe006,DNpe006,10,,
11466,DNge149,DNge149,10,octopamine,Babski 2024
11475,DNg27,DNg27,7,,
11479,DNb04,DNb04,3,,
11482,DNge065,DNge065,4,,
11486,DNd03,DNd03,10,"walking related,octopamine",Babski 2024
11491,DNde005,DNde005,8,,
11500,DNge043,DNge043,10,,
11502,DNge132,DNge132,4,,
11505,DNp54,DNp54,10,,
11508,AN02A001,AN02A001,11,,
11513,DNp07,DNp07,10,landing,Ache 2019
11527,DNg101,DNg101,10,,
11540,DNge152,DNge152,1,octopamine,Babski 2024
11554,DNp63,DNp63,10,,
11563,DNae001,DNae001,10,,
11568,ANXXX470,ANXXX470,5,taste,Kim 2017
11573,DNpe021,DNpe021,8,,
11575,DNge049,DNge049,10,,
11596,DNpe022,DNpe022,10,,
11598,DNg31,DNg31,7,,
11600,DNge084,DNge084,4,,
11604,AN05B004,AN05B004,8,,
11610,DNae007,DNae007,11,,
11613,DNp45,DNp45,10,,
11614,DNpe032,DNpe032,10,,
11616,ANXXX106,ANXXX106,3,,
11625,DNae005,DNae005,10,,
11632,DNpe052,DNpe052,10,,
11647,DNpe006,DNpe006,10,,
11653,DNg27,DNg27,7,,
11657,DNpe005,DNpe005,10,,
11662,DNp24,DNp24,7,,
11674,DNp68,DNp68,10,,
11676,DNg26,DNg26,7,terminate mating,Gautham 2024
11687,DNpe031,DNpe031,10,,
11693,DNd03,DNd03,10,"walking related,octopamine",Babski 2024
11704,DNp07,DNp07,10,landing,Ache 2019
11706,DNg111,DNg111,10,,
11713,DNg101,DNg101,10,,
11724,DNp64,DNp64,8,,
11733,AN08B018,AN08B018,2,,
11737,DNge073,DNge073,10,,
11739,DNde007,DNde007,10,,
11742,DNp104,DNp104,10,,
11765,DNge142,DNge142,8,neuromodulatory,Mollá-Albaladejo 2024
11770,DNae010,DNae010,1,,
11796,AN10B005,AN10B005,6,rest (leg proprioceptive),Chen 2023
11797,DNge041,DNge041,10,,
11814,DNa04,DNa04,1,,
11820,DNge123,DNge123,6,,
11821,DNge075,DNge075,12,,
11822,AN08B018,AN08B018,2,,
11830,DNa05,DNa05,1,flight,"Cheong, Eichler, Stürner 2024"
11846,DNp102,DNp102,10,,
11851,,na_1,8,,
11859,DNpe050,DNpe050,10,,
11867,AN08B018,AN08B018,2,,
11869,AN19A038,AN19A038,6,,
11872,DNp22,DNp22,1,ocellar,
11876,DNae003,DNae003,1,steering,Feng 2024
11881,DNge023,DNge023,7,,
11889,DNge065,DNge065,4,,
11916,DNbe005,DNbe005,11,,
11931,DNd04,DNd04,8,,
11944,DNpe026,DNpe026,10,,
11948,DNge142,DNge142,8,neuromodulatory,Mollá-Albaladejo 2024
11951,DNg38,DNg38,7,,
11955,DNae010,DNae010,1,,
11961,DNp57,DNp57,10,,
11965,DNge053,DNge053,10,walking,Sapkal 2024
11970,DNge042,DNge042,9,,
11976,AN27X017,AN27X017,7,,
11986,DNge018,DNge018,0,,
11998,AN09B017f,AN09B017f,5,pheromone,Clowney 2015
12000,DNge099,DNge099,11,,
12027,DNp101,DNp101,10,,
12030,DNg91,DNg91,1,,
12035,AN17A008,AN17A008,9,,
